Sample,RunID,Alternative_RunID,HLA-A,HLA-A,HLA-B,HLA-B,HLA-C,HLA-C,HLA-DRB1,HLA-DRB1,HLA-DQB1,HLA-DQB1,HLA-DQA1,HLA-DQA1
NA19131,SRR070494,SRR070783,6602,6802,4201,5301,401,1701,302,804,402,301,401,501
NA12144,SRR766058,-,301,201,3501,4402,401,704,101,407,501,301,101,301
NA07000,SRR766039,-,201,6801,4402,4001,304,704,301,1101,201,301,501,501
NA06985,SRR709972,-,301,201,702,5701,702,602,1501,1501,602,602,102,102
NA10851,SRR766044,-,2402,101,4001,801,304,701,404,701,302,303,301,201
NA07357,SRR764689,SRR764690,2402,101,3906,801,702,701,404,301,302,201,301,501
NA12044,SRR766060,-,201,101,702,702,702,702,1301,1501,603,602,103,102
NA12043,SRR716423,SRR716424,206,2601,3501,3801,401,1203,101,404,501,302,101,301
NA11881,SRR766021,-,2601,301,702,702,702,702,1501,1501,602,602,102,102
NA11829,SRR710128,-,201,201,4402,1501,501,304,401,401,301,302,301,301
NA11832,SRR766003,-,3201,201,4002,2705,202,704,1301,1501,603,602,103,102
NA11830,SRR766026,-,201,201,1402,1401,802,802,1303,07xx,301,201,501,201
NA11831,SRR709975,-,101,301,801,702,701,702,301,1501,201,602,501,102
NA11992,SRR701474,-,201,101,3501,801,401,701,101,301,501,201,101,501
NA11995,SRR766010,-,101,101,5701,801,602,701,1301,1501,603,602,102,103
NA11994,SRR701475,-,101,1101,5101,702,1502,702,402,404,302,302,301,301
NA12234,SRR716435,-,3201,1101,4002,4403,1502,1601,701,1404,201,503,201,101
NA12156,SRR764691,-,101,1101,5101,5001,1502,602,407,701,301,201,301,201
NA12154,SRR702067,-,101,3101,801,4001,701,304,301,404,201,302,501,301
NA12155,SRR702068,-,101,201,801,4402,701,501,301,401,201,301,501,301
NA12005,SRR718067,-,2902,201,702,2705,702,102,1501,1501,602,602,102,102
NA12006,SRR716422,-,2501,1101,1801,1501,1203,303,1501,404,302,602,102,301
NA12750,SRR794547,SRR794550,3101,201,1501,702,303,702,1501,404,602,302,102,301
NA12814,SRR715914,-,301,201,702,702,702,702,-,-,501,602,101,102
NA12813,SRR718077,SRR718078,2902,2402,4403,5701,1601,602,-,-,303,201,201,201
NA12812,SRR715913,-,201,201,4402,4402,501,501,-,-,603,301,103,301
NA12815,SRR716646,-,101,2402,801,5501,701,702,-,-,603,301,103,301
NA12873,SRR702070,-,2402,301,3905,702,702,702,-,-,602,602,102,102
HG01756,SRR359102,-,3002,6601,1801,4102,0501,1701,3001,3001,0201,0201,-,-
HG01757,SRR359103,-,0101,0201,1801,5701,0701,0701,0301,0701,0201,0303,-,-
NA20313,SRR359108,-,0301,6802,3501,5301,0401,0401,0405,0804,0301,0302,-,-
HG01872,SRR359298,-,1102,2407,2704,3905,0801,1202,0803,1202,0301,0601,-,-
HG01873,SRR359295,-,0203,0301,3503,5502,0401,1203,0802,1405,0402,0503,-,-
HG01886,SRR360655,-,3002,7401,1503,5703,0210,0701,1101,1302,0502,0609,-,-
HG01953,SRR360288,-,0201,0211,1504,3505,0102,0401,0411,0901,0302,0303,-,-
HG01968,SRR360391,-,0201,6801,0702,4002,0304,0702,0103,0901,0303,0501,-,-
HG02014,SRR360148,-,0201,3601,3501,4001,0304,0401,0101,1501,0501,0602,-,-
HG02057,SRR359301,-,0203,3101,1301,4801,0303,0304,1101,1312,0301,0301,-,-
NA20313,SRR359098,-,0301,6802,3501,5301,0401,0401,0405,0804,0301,0302,-,-
